name,environmental,social,governance,composite
Monastery of the Myrelaion,37.4,65,36.2,46.7
Olympiades,68.4,65,57.9,64.1
Vazelon Monastery (Trabzon),93.1,55,75.2,74.4
Matrones,50.7,65,45.5,54.1
New Valamo,49.3,45,44.5,46.4
Lintula Holy Trinity Convent,7.3,65,15.1,29.8
Palace of the Grand Master of the Knights of Rhodes,12.0,55,18.4,29.0
Bodrum Kalesi,6.7,55,14.7,26.0
Matejče Monastery (North Macedonia),37.6,45,36.3,39.8
Monastery of St Naum (North Macedonia),63.1,65,54.2,61.1
Lešok Monastery (North Macedonia),39.3,65,37.5,47.8
Psača Monastery (North Macedonia),38.0,55,36.6,43.5
Bogdana Monastery,37.4,45,36.2,39.7
Brașov (Kronstadt),5.2,65,13.6,28.6
Moni Toplou,38.0,45,36.6,40.0
S. Bartomeu de Bell-lloc,43.3,45,40.3,43.0
Bistrița,15.3,65,20.7,34.3
Cozia Monastery,35.9,65,35.1,45.8
Carta,2.1,45,11.5,19.9
S. Daniel de Galligants,56.8,75,49.8,61.1
Amalfinon Monastery,3.8,55,12.6,24.4
Daphni Monastery,53.2,65,47.2,55.5
Great Lavra,59.8,45,51.8,52.2
Karakallou Monastery,54.9,45,48.4,49.5
Lakkoskiti,58.6,45,51.0,51.6
Lesnovo Monastery,38.0,65,36.6,47.0
S. Maria de Valldemaria,21.8,65,25.2,37.9
Cluj-Mănăștur Calvaria,24.7,45,27.3,32.6
S. SadurnÃ­ de Collsabadell,2.4,65,11.7,27.1
S. Nicolau de Camprodon,16.7,65,21.7,35.1
Lapušnja Monastery,29.5,45,30.6,35.3
Supraśl – Monastery of the Annunciation of the Mother of God,29.7,45,30.8,35.4
S. Magdalena de Conangle,35.6,65,34.9,45.7
Monastery of Agioi Anargyroi,29.3,65,30.5,42.2
S. Joan de les Abadesses,7.3,75,15.1,33.3
S. Maria de Savall,3.6,65,12.5,27.8
Zwierzyniec,47.9,75,43.5,56.1
Zwierzyniec,48.6,45,44.0,46.0
Naustathmus (Libya),6.9,45,14.8,22.6
Tripoli castle,1.1,55,10.8,22.9
Jabłeczna – Monastery of St Onuphrius the Great,29.7,45,30.8,35.4
Zaraka Monastery,2.8,45,11.9,20.3
Convent of the Mother of God Pantanassa,35.2,75,34.6,49.0
Holy Trinity Monastery (Gornja Kamenica),32.0,45,32.4,36.7
Divljana Monastery,35.5,45,34.8,38.6
St John the Baptist Monastery (Jašunja),28.6,45,30.0,34.8
St. Mercurius Coptic Orthodox Monastery (Tammūna),56.0,65,49.2,57.1
Monastery of Saint John the Theologian,52.8,45,46.9,48.3
Isova Monastery,3.2,45,12.2,20.5
"Church of St. George, Staro NagoriÄane",53.7,45,47.6,48.8
Koprzywnica,26.4,55,28.5,37.0
Marko's Monastery,38.2,45,36.7,40.1
Nimnik Monastery,38.0,45,36.6,40.0
Krepičevac  Monastery,29.5,65,30.6,42.3
"Church of the Holy Mother of God, Kuršumlija",48.8,65,44.1,53.1
Hodoș-Bodrog,6.5,75,14.5,32.9
Kalenić Monastery,34.8,45,34.3,38.2
Rousanou Monastery,12.7,65,18.9,32.9
Drenča Monastery,36.4,45,35.5,39.1
Lepenac Monastery,32.4,65,32.7,43.9
jubostinja Monastery,35.9,45,35.1,38.8
Milentija Monastery,32.4,65,32.7,43.9
Klisura Monastery (Serbia),43.6,65,40.5,50.2
Kumanica Monastery,43.6,65,40.5,50.2
Mažić Monastery,49.3,65,44.5,53.4
Banja Monastery,49.3,45,44.5,46.4
Crna Reka Monastery,43.6,65,40.5,50.2
Hebdów,37.5,45,36.2,39.7
Patriarchate of Peć Monastery,43.6,65,40.5,50.2
Fenek Monastery (Surčin),32.4,45,32.7,36.9
"Czerwińsk nad Wisłą, Masovia",50.5,45,45.3,47.0
"Church of St. Achillius, Arilje",41.0,45,38.7,41.7
"Beška Monastery (island of Beška, Serbia)",33.0,45,33.1,37.2
Kraków (Kazimierz suburb) – Convent of the Augustinian Hermits,38.4,45,36.9,40.3
Camaldolese Monastery,23.4,45,26.4,31.9
Kraków,0.8,45,10.5,19.2
Stary Sącz (Małopolska),41.9,45,39.3,42.2
Ćelije  Monastery,41.9,65,39.3,49.2
Banjska Monastery,13.1,45,19.2,26.1
"Holy Trinity Monastery, Mušutište",36.5,45,35.5,39.2
Bina Monastery (Serbia),38.0,45,36.6,40.0
Ardenica Monastery,41.8,45,39.2,42.1
Mileševa Monastery,44.5,45,41.1,43.7
Moračnik Monastery (Montenegro),35.2,45,34.6,38.4
Orahovo Monastery,44.6,65,41.2,50.7
Praskvica Monastery,54.9,45,48.4,49.5
Kamenac Monastery,32.4,65,32.7,43.9
Mieszno near Chełmno (Chełmno Land / Kulmerland),2.4,45,11.7,20.1
Buda single royal confirmation charter.,0.6,45,10.4,19.1
Gdańsk-Olszynka (Marienbrunn),9.0,45,16.3,23.8
"Thorn Abbey (Toruń, Poland)",47.4,65,43.2,52.3
Roma Abbey monks,20.6,45,24.4,30.3
Dobrićevo Monastery,30.7,45,31.5,35.9
S. Giorgio (Lecce),35.3,45,34.7,38.5
S. Giovanni Evangelista (Lecce),38.0,65,36.6,47.0
Sankta Klara Kloster,13.4,75,19.4,36.8
"S. Maria Antica, Veterana",43.3,65,40.3,50.0
Hodoș-Bodrog Monastery,47.7,45,43.4,45.5
Grnčarica Monastery,43.6,45,40.5,43.2
Franciscan church and monastery in Gniezno,41.4,45,39.0,41.9
S. Scolastica (Benedictine),42.1,65,39.5,49.3
S. Benedetto,33.8,65,33.6,44.7
Trebnitz,34.2,75,33.9,48.4
Wrocław,0.5,45,10.3,19.0
Lubiń (Wielkopolska),53.8,45,47.6,48.9
Church of Saint John of Jerusalem outside the walls,47.2,55,43.0,48.7
