order,countries,earliest_foundation,country_count,Image 1 Link,Image 2 Link,Image 3 Link,community_count,avg_lifespan,male_count,female_count
Carthusian,"France, Italy, Poland",1084.0,3,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/La_Grande_Chartreuse.JPG/1024px-La_Grande_Chartreuse.JPG,https://upload.wikimedia.org/wikipedia/commons/c/ce/Coustumes_-_Chartreux.png,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Kartuizerembleem.jpg/800px-Kartuizerembleem.jpg,13.0,551.5384615384615,7.0,5.0
Cistercian,"Austria, Belgium, France, Germany, Italy, Luxembourg, Netherlands, Poland, Republic of Ireland, Romania, Spain, Sweden, Switzerland, Turkey, United Kingdom",115.0,15,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Heiligenkreuz_-_Stift%2C_Luftaufnahme.JPG/1024px-Heiligenkreuz_-_Stift%2C_Luftaufnahme.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Stift_Heiligenkreuz_%28Stiftshof%29_2011-09-14.jpg/1024px-Stift_Heiligenkreuz_%28Stiftshof%29_2011-09-14.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Heiligenkreuz_-_Stiftskirche%2C_Innenansicht_%28a%29.JPG/800px-Heiligenkreuz_-_Stiftskirche%2C_Innenansicht_%28a%29.JPG,391.0,488.0076726342711,45.0,345.0
Cistercian,"Austria, Belgium, France, Germany, Italy, Luxembourg, Netherlands, Poland, Republic of Ireland, Romania, Spain, Sweden, Switzerland, Turkey, United Kingdom",115.0,15,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Zaraka_Monastiri.jpg/1024px-Zaraka_Monastiri.jpg,https://middleware.visitpeloponnese.com/api/middleware/GetFullScreenLandscapeImage/Peloponnese_Stymfalia_02_1829198558.JPG,https://middleware.visitpeloponnese.com/api/middleware/GetFullScreenLandscapeImage/Peloponnese_Stymfalia_01_439735108.JPG,391.0,488.0076726342711,45.0,345.0
Cistercian,"Greece, Norway",1150.0,2,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Heiligenkreuz_-_Stift%2C_Luftaufnahme.JPG/1024px-Heiligenkreuz_-_Stift%2C_Luftaufnahme.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Stift_Heiligenkreuz_%28Stiftshof%29_2011-09-14.jpg/1024px-Stift_Heiligenkreuz_%28Stiftshof%29_2011-09-14.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Heiligenkreuz_-_Stiftskirche%2C_Innenansicht_%28a%29.JPG/800px-Heiligenkreuz_-_Stiftskirche%2C_Innenansicht_%28a%29.JPG,391.0,488.0076726342711,45.0,345.0
Cistercian,"Greece, Norway",1150.0,2,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Zaraka_Monastiri.jpg/1024px-Zaraka_Monastiri.jpg,https://middleware.visitpeloponnese.com/api/middleware/GetFullScreenLandscapeImage/Peloponnese_Stymfalia_02_1829198558.JPG,https://middleware.visitpeloponnese.com/api/middleware/GetFullScreenLandscapeImage/Peloponnese_Stymfalia_01_439735108.JPG,391.0,488.0076726342711,45.0,345.0
Clarisse,"Denmark, Germany, Italy, Poland, Spain, Sweden",1092.0,6,https://upload.wikimedia.org/wikipedia/commons/6/64/Sankt_Clara_Kloster%2C_Copenhagen.jpg,https://upload.wikimedia.org/wikipedia/commons/2/24/Klareboderne_%28H._G._F._Holm%29.jpg?20170321065453,https://upload.wikimedia.org/wikipedia/commons/6/64/Sankt_Clara_Kloster%2C_Copenhagen.jpg,41.0,430.609756097561,1.0,40.0
Cluniac,"France, United Kingdom",1055.0,2,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Cluny_Abbey_%287304580692%29.jpg/1024px-Cluny_Abbey_%287304580692%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Charpente_du_Farinier_de_l%27Abbaye_de_Cluny.jpg/1024px-Charpente_du_Farinier_de_l%27Abbaye_de_Cluny.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Panorama_Abbaye_de_Cluny.jpg/1024px-Panorama_Abbaye_de_Cluny.jpg,3.0,553.3333333333334,1.0,2.0
Columban,United Kingdom,640.0,1,https://cadw.gov.wales/sites/default/files/styles/banner_image/public/2019-05/NCX-SC01-1516-0468.jpg?h=fdc7d52c&itok=a8CbeLE0,https://upload.wikimedia.org/wikipedia/commons/8/8b/Holywell%2C_St_Winefride_%2835704689692%29_cropped.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Statue_of_St_Winefride%2C_19th_century_%28cropped%29.jpg/800px-Statue_of_St_Winefride%2C_19th_century_%28cropped%29.jpg,1.0,360.0,0.0,1.0
Coptic Orthodox,"Egypt, Israel, Syria",300.0,3,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Kairo_Hanging_Church_BW_1.jpg/800px-Kairo_Hanging_Church_BW_1.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Coptic_monks.jpg/1024px-Coptic_monks.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Bertha_M%C3%BCller_-_portrait_d%27une_copte.webp/800px-Bertha_M%C3%BCller_-_portrait_d%27une_copte.webp.png,70.0,1437.9,54.0,16.0
Dominican,"France, Germany, Italy, Poland, Switzerland",1167.0,5,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Monast%C3%A8re_Prouilhe_2.jpg/1024px-Monast%C3%A8re_Prouilhe_2.jpg,https://cdn.prod.website-files.com/606dd60f5289e43b16366e84/65e099b808c3bf9a87de7947_DSC_0084.jpg,https://cdn.prod.website-files.com/606dd60f5289e43b16366e84/65e09995bba94cefb13ebf4c_Vue%20principale.jpeg,28.0,440.75,3.0,24.0
Early Christian,Italy,461.0,1,https://upload.wikimedia.org/wikipedia/commons/c/c8/SantoStefanoRotondoByRoeslerFranz.jpg,https://upload.wikimedia.org/wikipedia/commons/a/af/SStefanoRotondoVsec.png,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Celio_-_santo_Stefano_rotondo_1792st.JPG/1024px-Celio_-_santo_Stefano_rotondo_1792st.JPG,1.0,1564.0,0.0,1.0
Early Irish Monastic,"Republic of Ireland, United Kingdom",400.0,2,https://jryantheaed.wordpress.com/wp-content/uploads/2015/08/clonmacnoise.jpg,https://jryantheaed.wordpress.com/wp-content/uploads/2015/08/skellig-michael.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Glendalough_monastery.jpg/774px-Glendalough_monastery.jpg,21.0,551.7619047619048,0.0,21.0
Early Nubian Christian,"Egypt, Sudan",550.0,2,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/MNW-Faras_Gallery_model_of_the_cathedral.jpg/1024px-MNW-Faras_Gallery_model_of_the_cathedral.jpg,https://upload.wikimedia.org/wikipedia/commons/0/0e/Church_dongola_%28cropped%29.png,https://upload.wikimedia.org/wikipedia/commons/d/d6/Georgios_II_of_Makuria.jpg,13.0,488.0769230769231,12.0,1.0
Eastern Orthodox,Finland,1150.0,1,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/%D0%A1%D0%B2%D1%8F%D1%82%D0%BE%D0%B9_%D0%93%D0%B5%D0%BE%D1%80%D0%B3%D0%B8%D0%B9_%D0%9F%D0%BE%D0%B1%D0%B5%D0%B4%D0%BE%D0%BD%D0%BE%D1%81%D0%B5%D1%86%2C_%D1%84%D1%80%D0%B5%D1%81%D0%BA%D0%B0_12_%D0%B2%D0%B5%D0%BA%D0%B0%2C_%D0%A1%D1%82%D0%B0%D1%80%D0%B0%D1%8F_%D0%9B%D0%B0%D0%B4%D0%BE%D0%B3%D0%B0.jpg/800px-%D0%A1%D0%B2%D1%8F%D1%82%D0%BE%D0%B9_%D0%93%D0%B5%D0%BE%D1%80%D0%B3%D0%B8%D0%B9_%D0%9F%D0%BE%D0%B1%D0%B5%D0%B4%D0%BE%D0%BD%D0%BE%D1%81%D0%B5%D1%86%2C_%D1%84%D1%80%D0%B5%D1%81%D0%BA%D0%B0_12_%D0%B2%D0%B5%D0%BA%D0%B0%2C_%D0%A1%D1%82%D0%B0%D1%80%D0%B0%D1%8F_%D0%9B%D0%B0%D0%B4%D0%BE%D0%B3%D0%B0.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/%D0%9A%D1%80%D0%B5%D0%BF%D0%BE%D1%81%D1%82%D1%8C_%D0%A1%D1%82%D0%B0%D1%80%D0%B0%D1%8F_%D0%9B%D0%B0%D0%B4%D0%BE%D0%B3%D0%B0_%D0%92%D0%B8%D0%B4.jpg/1024px-%D0%9A%D1%80%D0%B5%D0%BF%D0%BE%D1%81%D1%82%D1%8C_%D0%A1%D1%82%D0%B0%D1%80%D0%B0%D1%8F_%D0%9B%D0%B0%D0%B4%D0%BE%D0%B3%D0%B0_%D0%92%D0%B8%D0%B4.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/%D0%A1%D1%82%D0%B0%D1%80%D0%BE%D0%BB%D0%B0%D0%B4%D0%BE%D0%B6%D1%81%D0%BA%D0%B0%D1%8F_%D0%BA%D1%80%D0%B5%D0%BF%D0%BE%D1%81%D1%82%D1%8C._%D0%A6%D0%B5%D1%80%D0%BA%D0%BE%D0%B2%D1%8C_%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%B8%D1%8F_%D0%A1%D0%BE%D0%BB%D1%83%D0%BD%D1%81%D0%BA%D0%BE%D0%B3%D0%BE._%D0%92%D0%B8%D0%B4_%D1%81_%D1%8E%D0%B3%D0%B0.JPG/1024px-%D0%A1%D1%82%D0%B0%D1%80%D0%BE%D0%BB%D0%B0%D0%B4%D0%BE%D0%B6%D1%81%D0%BA%D0%B0%D1%8F_%D0%BA%D1%80%D0%B5%D0%BF%D0%BE%D1%81%D1%82%D1%8C._%D0%A6%D0%B5%D1%80%D0%BA%D0%BE%D0%B2%D1%8C_%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%B8%D1%8F_%D0%A1%D0%BE%D0%BB%D1%83%D0%BD%D1%81%D0%BA%D0%BE%D0%B3%D0%BE._%D0%92%D0%B8%D0%B4_%D1%81_%D1%8E%D0%B3%D0%B0.JPG,2.0,502.5,1.0,1.0
Ethiopian Orthodox,Ethiopia,560.0,1,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Ethiopian_Orthodox_Church_%2810114201074%29.jpg/1200px-Ethiopian_Orthodox_Church_%2810114201074%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Addis_abeba%2C_chiesa_della_trinit%C3%A0%2C_esterno_01.jpg/1200px-Addis_abeba%2C_chiesa_della_trinit%C3%A0%2C_esterno_01.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Addis_abeba%2C_chiesa_della_trinit%C3%A0%2C_esterno_05.jpg/1024px-Addis_abeba%2C_chiesa_della_trinit%C3%A0%2C_esterno_05.jpg,4.0,848.75,3.0,1.0
Franciscan,"Belgium, Denmark, France, Germany, Italy, Poland, Romania, Spain, United Kingdom",1207.0,9,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/ConventFriarsMinorAntwerp.png/500px-ConventFriarsMinorAntwerp.png,https://upload.wikimedia.org/wikipedia/commons/4/4d/Coustumes_-_Moine_de_l%27Abbaye_d%27Afflighem.png,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Abdij_Affligem_-_1659.jpg/1024px-Abdij_Affligem_-_1659.jpg,41.0,441.2682926829268,14.0,27.0
Georgian Orthodox,Georgia,550.0,1,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Georgia_Jvari_monastery_IMG_9345_2070.jpg/1024px-Georgia_Jvari_monastery_IMG_9345_2070.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/%E1%83%AF%E1%83%95%E1%83%A0%E1%83%98%E1%83%A1_%E1%83%9B%E1%83%90%E1%83%9B%E1%83%90%E1%83%97%E1%83%90_%E1%83%9B%E1%83%9D%E1%83%9C%E1%83%90%E1%83%A1%E1%83%A2%E1%83%94%E1%83%A0%E1%83%98.jpg/1024px-%E1%83%AF%E1%83%95%E1%83%A0%E1%83%98%E1%83%A1_%E1%83%9B%E1%83%90%E1%83%9B%E1%83%90%E1%83%97%E1%83%90_%E1%83%9B%E1%83%9D%E1%83%9C%E1%83%90%E1%83%A1%E1%83%A2%E1%83%94%E1%83%A0%E1%83%98.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Monasterio_de_Jvari%2C_Miskheta%2C_Georgia%2C_2016-09-29%2C_DD_08-10_HDR.jpg/1024px-Monasterio_de_Jvari%2C_Miskheta%2C_Georgia%2C_2016-09-29%2C_DD_08-10_HDR.jpg,10.0,892.3,9.0,1.0
