source,target,order,distance_km,shared_period
S. Nicolo di Carpineta,S. Cristina della Fondazza,Benedictine,0.0,1245-1322
S. Nicolo di Carpineta,S. Maria Maddalena di Valdipietra (Benedictine),Benedictine,0.0,1265-1322
S. Nicolo di Carpineta,S. Ambrogio,Benedictine,130.7,1238-1262
S. Nicolo di Carpineta,S. Prospero,Benedictine,130.7,1262-1322
S. Nicolo di Carpineta,S. Maria a Monte Cellesi (Benedictine),Benedictine,130.7,1238-1322
S. Nicolo di Carpineta,S. Ilario in Alfiano,Benedictine,77.2,1238-1298
S. Nicolo di Carpineta,S. Maria di Rosano,Benedictine,77.2,1238-1322
S. Nicolo di Carpineta,Santissima Annunziata di Firenze,Benedictine,80.6,None
S. Nicolo di Carpineta,S Silvestro,Benedictine,80.6,1301-1322
S. Nicolo di Carpineta,Le Murate,Benedictine,80.6,None
S. Nicolo di Carpineta,S. Michele delle Campora (Benedictine),Benedictine,80.6,None
S. Nicolo di Carpineta,S Michaelis de Monte Tribaldi (Florence),Benedictine,80.6,1238-1322
S. Nicolo di Carpineta,S. Verdiana,Benedictine,80.6,None
S. Nicolo di Carpineta,S. Maria al Corso,Benedictine,97.3,None
S. Nicolo di Carpineta,S. Dalmazio,Benedictine,97.3,1238-1282
S. Nicolo di Carpineta,S. Cerbone,Benedictine,97.3,1238-1322
S. Nicolo di Carpineta,Dominae de Campo S. Petro,Benedictine,97.3,1302-1322
S. Nicolo di Carpineta,S. Anna (Lucca),Benedictine,97.3,1238-1322
S. Nicolo di Carpineta,S. Benedetto e S. Scolastica (Lucca),Benedictine,97.3,1238-1322
S. Nicolo di Carpineta,S. Bartolomeo,Benedictine,88.3,1238-1322
S. Nicolo di Carpineta,San Salvatore and Giulia,Benedictine,145.9,1238-1322
S. Nicolo di Carpineta,"Pieve di San Moderanno (Berceto, PR)",Benedictine,107.3,1238-1322
S. Nicolo di Carpineta,"Abbazia di San Caprasio (Aulla, MS)",Benedictine,113.7,1238-1322
S. Croce di Borgo Galliera,S. Colombano,Benedictine,0.0,1288-1332
S. Croce di Borgo Galliera,S. Cristina della Fondazza,Benedictine,0.0,1288-1332
S. Croce di Borgo Galliera,S. Maria Maddalena di Valdipietra (Benedictine),Benedictine,0.0,1288-1332
S. Croce di Borgo Galliera,S. Ambrogio,Benedictine,130.7,None
S. Croce di Borgo Galliera,S. Prospero,Benedictine,130.7,1288-1332
S. Croce di Borgo Galliera,S. Maria a Monte Cellesi (Benedictine),Benedictine,130.7,1288-1332
S. Croce di Borgo Galliera,S. Ilario in Alfiano,Benedictine,77.2,1288-1298
S. Croce di Borgo Galliera,S. Maria di Rosano,Benedictine,77.2,1288-1332
S. Croce di Borgo Galliera,Santissima Annunziata di Firenze,Benedictine,80.6,None
S. Croce di Borgo Galliera,S Silvestro,Benedictine,80.6,1301-1332
S. Croce di Borgo Galliera,Le Murate,Benedictine,80.6,None
S. Croce di Borgo Galliera,S. Michele delle Campora (Benedictine),Benedictine,80.6,None
S. Croce di Borgo Galliera,S Michaelis de Monte Tribaldi (Florence),Benedictine,80.6,1288-1332
S. Croce di Borgo Galliera,S. Verdiana,Benedictine,80.6,None
S. Croce di Borgo Galliera,S. Maria al Corso,Benedictine,97.3,None
S. Croce di Borgo Galliera,S. Dalmazio,Benedictine,97.3,None
S. Croce di Borgo Galliera,S. Cerbone,Benedictine,97.3,1288-1332
S. Croce di Borgo Galliera,Dominae de Campo S. Petro,Benedictine,97.3,1302-1332
S. Croce di Borgo Galliera,S. Anna (Lucca),Benedictine,97.3,1288-1332
S. Croce di Borgo Galliera,S. Benedetto e S. Scolastica (Lucca),Benedictine,97.3,1288-1332
S. Croce di Borgo Galliera,S. Bartolomeo,Benedictine,88.3,1288-1332
S. Croce di Borgo Galliera,San Salvatore and Giulia,Benedictine,145.9,1288-1332
S. Croce di Borgo Galliera,"Pieve di San Moderanno (Berceto, PR)",Benedictine,107.3,1288-1332
S. Croce di Borgo Galliera,"Abbazia di San Caprasio (Aulla, MS)",Benedictine,113.7,1288-1332
S. Colombano,S. Cristina della Fondazza,Benedictine,0.0,1245-1347
S. Colombano,S. Maria Maddalena di Valdipietra (Benedictine),Benedictine,0.0,1265-1347
S. Colombano,S. Ambrogio,Benedictine,130.7,1114-1262
S. Colombano,S. Prospero,Benedictine,130.7,1262-1347
S. Colombano,S. Maria a Monte Cellesi (Benedictine),Benedictine,130.7,1114-1347
S. Colombano,S. Ilario in Alfiano,Benedictine,77.2,1114-1298
S. Colombano,S. Maria di Rosano,Benedictine,77.2,1114-1347
S. Colombano,Santissima Annunziata di Firenze,Benedictine,80.6,None
S. Colombano,S Silvestro,Benedictine,80.6,1301-1347
S. Colombano,Le Murate,Benedictine,80.6,None
S. Colombano,S. Michele delle Campora (Benedictine),Benedictine,80.6,None
S. Colombano,S Michaelis de Monte Tribaldi (Florence),Benedictine,80.6,1200-1347
S. Colombano,S. Verdiana,Benedictine,80.6,None
S. Colombano,S. Maria al Corso,Benedictine,97.3,None
S. Colombano,S. Dalmazio,Benedictine,97.3,1114-1282
S. Colombano,S. Cerbone,Benedictine,97.3,1149-1347
S. Colombano,Dominae de Campo S. Petro,Benedictine,97.3,1302-1347
S. Colombano,S. Anna (Lucca),Benedictine,97.3,1114-1347
S. Colombano,S. Benedetto e S. Scolastica (Lucca),Benedictine,97.3,1114-1347
S. Colombano,S. Bartolomeo,Benedictine,88.3,1114-1347
S. Colombano,San Salvatore and Giulia,Benedictine,145.9,1114-1347
S. Colombano,"Pieve di San Moderanno (Berceto, PR)",Benedictine,107.3,1114-1347
S. Colombano,"Abbazia di San Caprasio (Aulla, MS)",Benedictine,113.7,1114-1347
S. Cristina della Fondazza,S. Maria Maddalena di Valdipietra (Benedictine),Benedictine,0.0,1265-1799
S. Cristina della Fondazza,S. Ambrogio,Benedictine,130.7,1245-1262
S. Cristina della Fondazza,S. Prospero,Benedictine,130.7,1262-1537
S. Cristina della Fondazza,S. Maria a Monte Cellesi (Benedictine),Benedictine,130.7,1245-1799
S. Cristina della Fondazza,S. Ilario in Alfiano,Benedictine,77.2,1245-1298
S. Cristina della Fondazza,S. Maria di Rosano,Benedictine,77.2,1245-1472
S. Cristina della Fondazza,Santissima Annunziata di Firenze,Benedictine,80.6,1412-1413
S. Cristina della Fondazza,S Silvestro,Benedictine,80.6,1301-1435
S. Cristina della Fondazza,Le Murate,Benedictine,80.6,1390-1799
S. Cristina della Fondazza,S. Michele delle Campora (Benedictine),Benedictine,80.6,1446-1799
S. Cristina della Fondazza,S Michaelis de Monte Tribaldi (Florence),Benedictine,80.6,1245-1799
S. Cristina della Fondazza,S. Verdiana,Benedictine,80.6,1391-1428
S. Cristina della Fondazza,S. Maria al Corso,Benedictine,97.3,None
S. Cristina della Fondazza,S. Dalmazio,Benedictine,97.3,1245-1282
S. Cristina della Fondazza,S. Cerbone,Benedictine,97.3,1245-1442
S. Cristina della Fondazza,Dominae de Campo S. Petro,Benedictine,97.3,1302-1786
S. Cristina della Fondazza,S. Anna (Lucca),Benedictine,97.3,1245-1799
S. Cristina della Fondazza,S. Benedetto e S. Scolastica (Lucca),Benedictine,97.3,1245-1799
S. Cristina della Fondazza,S. Bartolomeo,Benedictine,88.3,1245-1410
S. Cristina della Fondazza,San Salvatore and Giulia,Benedictine,145.9,1245-1799
S. Cristina della Fondazza,"Pieve di San Moderanno (Berceto, PR)",Benedictine,107.3,1245-1450
S. Cristina della Fondazza,"Abbazia di San Caprasio (Aulla, MS)",Benedictine,113.7,1245-1785
S. Maria Maddalena di Valdipietra (Benedictine),S. Ambrogio,Benedictine,130.7,None
S. Maria Maddalena di Valdipietra (Benedictine),S. Prospero,Benedictine,130.7,1265-1537
S. Maria Maddalena di Valdipietra (Benedictine),S. Maria a Monte Cellesi (Benedictine),Benedictine,130.7,1265-1808
S. Maria Maddalena di Valdipietra (Benedictine),S. Ilario in Alfiano,Benedictine,77.2,1265-1298
S. Maria Maddalena di Valdipietra (Benedictine),S. Maria di Rosano,Benedictine,77.2,1265-1472
S. Maria Maddalena di Valdipietra (Benedictine),Santissima Annunziata di Firenze,Benedictine,80.6,1412-1413
S. Maria Maddalena di Valdipietra (Benedictine),S Silvestro,Benedictine,80.6,1301-1435
S. Maria Maddalena di Valdipietra (Benedictine),Le Murate,Benedictine,80.6,1390-1808
S. Maria Maddalena di Valdipietra (Benedictine),S. Michele delle Campora (Benedictine),Benedictine,80.6,1446-1808
S. Maria Maddalena di Valdipietra (Benedictine),S Michaelis de Monte Tribaldi (Florence),Benedictine,80.6,1265-1808
S. Maria Maddalena di Valdipietra (Benedictine),S. Verdiana,Benedictine,80.6,1391-1428
S. Maria Maddalena di Valdipietra (Benedictine),S. Maria al Corso,Benedictine,97.3,None
S. Maria Maddalena di Valdipietra (Benedictine),S. Dalmazio,Benedictine,97.3,1265-1282
S. Maria Maddalena di Valdipietra (Benedictine),S. Cerbone,Benedictine,97.3,1265-1442
S. Maria Maddalena di Valdipietra (Benedictine),Dominae de Campo S. Petro,Benedictine,97.3,1302-1786
S. Maria Maddalena di Valdipietra (Benedictine),S. Anna (Lucca),Benedictine,97.3,1265-1808
S. Maria Maddalena di Valdipietra (Benedictine),S. Benedetto e S. Scolastica (Lucca),Benedictine,97.3,1265-1808
S. Maria Maddalena di Valdipietra (Benedictine),S. Bartolomeo,Benedictine,88.3,1265-1410
S. Maria Maddalena di Valdipietra (Benedictine),San Salvatore and Giulia,Benedictine,145.9,1265-1805
S. Maria Maddalena di Valdipietra (Benedictine),"Pieve di San Moderanno (Berceto, PR)",Benedictine,107.3,1265-1450
S. Maria Maddalena di Valdipietra (Benedictine),"Abbazia di San Caprasio (Aulla, MS)",Benedictine,113.7,1265-1785
S. Maria della Misericordia,S. Maria del Cestello,Cistercian,0.0,1251-1432
S. Maria della Misericordia,S. Guglielmo,Cistercian,0.0,1256-1432
S. Maria della Misericordia,SS. Leonardo e Orsola,Cistercian,0.0,None
S. Maria della Misericordia,S. Bartolomeo alla Lastra,Cistercian,77.2,1352-1432
S. Maria della Misericordia,S Maria Maddalena de’ Calsati (Florence),Cistercian,80.6,1370-1432
S. Maria della Misericordia,S. Maria Maddelena delle Convertite,Cistercian,80.6,1321-1432
S. Maria della Misericordia,S. Maria dei Colli,Cistercian,97.3,1244-1350
S. Maria della Misericordia,S. Pantaleone (Cistercian),Cistercian,97.3,1244-1432
S. Maria della Misericordia,"Monastero di San Giovanni Evangelista (Pontremoli, MS)",Cistercian,117.8,1244-1432
S. Maria della Misericordia,S. Angelo in Cryptis Asculanis,Cistercian,146.5,1244-1432
S. Maria del Cestello,S. Guglielmo,Cistercian,0.0,1256-1473
S. Maria del Cestello,SS. Leonardo e Orsola,Cistercian,0.0,None
S. Maria del Cestello,S. Bartolomeo alla Lastra,Cistercian,77.2,1352-1453
S. Maria del Cestello,S Maria Maddalena de’ Calsati (Florence),Cistercian,80.6,1370-1473
S. Maria del Cestello,S. Maria Maddelena delle Convertite,Cistercian,80.6,1321-1442
S. Maria del Cestello,S. Maria dei Colli,Cistercian,97.3,1251-1350
S. Maria del Cestello,S. Pantaleone (Cistercian),Cistercian,97.3,1251-1473
S. Maria del Cestello,"Monastero di San Giovanni Evangelista (Pontremoli, MS)",Cistercian,117.8,1251-1473
S. Maria del Cestello,S. Angelo in Cryptis Asculanis,Cistercian,146.5,1251-1473
S. Guglielmo,SS. Leonardo e Orsola,Cistercian,0.0,1546-1799
S. Guglielmo,S. Bartolomeo alla Lastra,Cistercian,77.2,1352-1453
S. Guglielmo,S Maria Maddalena de’ Calsati (Florence),Cistercian,80.6,1370-1783
S. Guglielmo,S. Maria Maddelena delle Convertite,Cistercian,80.6,1321-1442
S. Guglielmo,S. Maria dei Colli,Cistercian,97.3,1256-1350
S. Guglielmo,S. Pantaleone (Cistercian),Cistercian,97.3,1256-1799
S. Guglielmo,"Monastero di San Giovanni Evangelista (Pontremoli, MS)",Cistercian,117.8,1256-1799
S. Guglielmo,S. Angelo in Cryptis Asculanis,Cistercian,146.5,1256-1799
SS. Leonardo e Orsola,S. Bartolomeo alla Lastra,Cistercian,77.2,None
SS. Leonardo e Orsola,S Maria Maddalena de’ Calsati (Florence),Cistercian,80.6,1546-1783
SS. Leonardo e Orsola,S. Maria Maddelena delle Convertite,Cistercian,80.6,None
SS. Leonardo e Orsola,S. Maria dei Colli,Cistercian,97.3,None
SS. Leonardo e Orsola,S. Pantaleone (Cistercian),Cistercian,97.3,1546-1799
SS. Leonardo e Orsola,"Monastero di San Giovanni Evangelista (Pontremoli, MS)",Cistercian,117.8,1546-1799
SS. Leonardo e Orsola,S. Angelo in Cryptis Asculanis,Cistercian,146.5,1546-1799
"Corpus Domini, Bologna",Monastero delle Clarisse Eremite della Santissima Trinità e della Catena,Clarisse,0.0,None
"Corpus Domini, Bologna",S. Francesco ordinis Sanctae Clarae,Clarisse,0.0,1456-1511
"Corpus Domini, Bologna",S. Micheletto (Clares),Clarisse,97.3,1456-1805
"Corpus Domini, Bologna",S. Damiano (Pisa),Clarisse,114.6,1456-1805
Monastero delle Clarisse Eremite della Santissima Trinità e della Catena,S. Francesco ordinis Sanctae Clarae,Clarisse,0.0,1287-1300
Monastero delle Clarisse Eremite della Santissima Trinità e della Catena,S. Micheletto (Clares),Clarisse,97.3,None
Monastero delle Clarisse Eremite della Santissima Trinità e della Catena,S. Damiano (Pisa),Clarisse,114.6,None
S. Francesco ordinis Sanctae Clarae,S. Micheletto (Clares),Clarisse,97.3,1435-1511
S. Francesco ordinis Sanctae Clarae,S. Damiano (Pisa),Clarisse,114.6,1400-1511
S. Maria Maddalena delle Convertite,S. Maria Maddalena di Via Galliera,Dominican,0.0,None
S. Maria Maddalena delle Convertite,S. Maria Nuova,Dominican,0.0,1250-1442
S. Maria Maddalena delle Convertite,S. Caterina a Figline (Fiesole),Dominican,77.2,1250-1442
S. Maria Maddalena delle Convertite,San Domenico di Cafaggio ,Dominican,80.6,1292-1442
S. Maria Maddalena delle Convertite,S. Niccolo di Prato,Dominican,70.9,1300-1442
S. Maria Maddalena delle Convertite,S. Domenico,Dominican,114.6,1382-1442
S. Maria Maddalena delle Convertite,S. Silvestro,Dominican,114.6,1322-1442
S. Maria Maddalena delle Convertite,S. Paolo all’Orto (Dominican),Dominican,114.6,1257-1442
S. Maria Maddalena di Via Galliera,S. Maria Nuova,Dominican,0.0,1566-1798
S. Maria Maddalena di Via Galliera,S. Caterina a Figline (Fiesole),Dominican,77.2,1566-1798
S. Maria Maddalena di Via Galliera,San Domenico di Cafaggio ,Dominican,80.6,1566-1798
S. Maria Maddalena di Via Galliera,S. Niccolo di Prato,Dominican,70.9,1566-1798
S. Maria Maddalena di Via Galliera,S. Domenico,Dominican,114.6,1566-1786
S. Maria Maddalena di Via Galliera,S. Silvestro,Dominican,114.6,1566-1786
S. Maria Maddalena di Via Galliera,S. Paolo all’Orto (Dominican),Dominican,114.6,1566-1798
S. Maria Nuova,S. Caterina a Figline (Fiesole),Dominican,77.2,1250-1799
S. Maria Nuova,San Domenico di Cafaggio ,Dominican,80.6,1292-1799
S. Maria Nuova,S. Niccolo di Prato,Dominican,70.9,1300-1799
S. Maria Nuova,S. Domenico,Dominican,114.6,1382-1786
S. Maria Nuova,S. Silvestro,Dominican,114.6,1322-1786
S. Maria Nuova,S. Paolo all’Orto (Dominican),Dominican,114.6,1257-1799
S. Maria delle Pugliole,S. Annunziata,Franciscan,77.2,1454-1468
S. Maria delle Pugliole,S Francesco a Guadato (Florence),Franciscan,80.6,1237-1525
Domus fratrum de poenitentia,S. Elisabetta,Augustinian,77.2,None
Domus fratrum de poenitentia,S. Romolo e S. Bartolomeo,Augustinian,77.2,None
Domus fratrum de poenitentia,S. Caterina di Cento,Augustinian,27.0,None
Domus fratrum de poenitentia,S. Donato a Torri in Polverosa,Augustinian,80.6,1256-1280
Domus fratrum de poenitentia,S. Caterina delle Ruote,Augustinian,138.5,None
Domus fratrum de poenitentia,S. Agostino in via Romea,Augustinian,114.6,1256-1280
Domus fratrum de poenitentia,S Eufemia (Albaretto),Augustinian,130.3,1256-1280
S. Ambrogio,S. Prospero,Benedictine,0.0,None
S. Ambrogio,S. Maria a Monte Cellesi (Benedictine),Benedictine,0.0,1063-1262
S. Ambrogio,S. Ilario in Alfiano,Benedictine,53.6,1063-1262
S. Ambrogio,S. Maria di Rosano,Benedictine,53.6,1063-1262
S. Ambrogio,Santissima Annunziata di Firenze,Benedictine,50.8,None
S. Ambrogio,S Silvestro,Benedictine,50.8,None
S. Ambrogio,Le Murate,Benedictine,50.8,None
S. Ambrogio,S. Michele delle Campora (Benedictine),Benedictine,50.8,None
S. Ambrogio,S Michaelis de Monte Tribaldi (Florence),Benedictine,50.8,1200-1262
S. Ambrogio,S. Verdiana,Benedictine,50.8,None
S. Ambrogio,S. Maria al Corso,Benedictine,88.3,None
S. Ambrogio,S. Dalmazio,Benedictine,88.3,1063-1262
S. Ambrogio,S. Cerbone,Benedictine,88.3,1149-1262
S. Ambrogio,Dominae de Campo S. Petro,Benedictine,88.3,None
S. Ambrogio,S. Anna (Lucca),Benedictine,88.3,1063-1262
S. Ambrogio,S. Benedetto e S. Scolastica (Lucca),Benedictine,88.3,1063-1262
S. Ambrogio,S. Bartolomeo,Benedictine,123.2,1063-1262
S. Ambrogio,"Abbazia di San Caprasio (Aulla, MS)",Benedictine,148.3,1063-1262
S. Prospero,S. Maria a Monte Cellesi (Benedictine),Benedictine,0.0,1262-1537
S. Prospero,S. Ilario in Alfiano,Benedictine,53.6,1262-1298
S. Prospero,S. Maria di Rosano,Benedictine,53.6,1262-1472
S. Prospero,Santissima Annunziata di Firenze,Benedictine,50.8,1412-1413
S. Prospero,S Silvestro,Benedictine,50.8,1301-1435
S. Prospero,Le Murate,Benedictine,50.8,1390-1537
S. Prospero,S. Michele delle Campora (Benedictine),Benedictine,50.8,1446-1537
S. Prospero,S Michaelis de Monte Tribaldi (Florence),Benedictine,50.8,1262-1537
S. Prospero,S. Verdiana,Benedictine,50.8,1391-1428
S. Prospero,S. Maria al Corso,Benedictine,88.3,None
S. Prospero,S. Dalmazio,Benedictine,88.3,1262-1282
S. Prospero,S. Cerbone,Benedictine,88.3,1262-1442
S. Prospero,Dominae de Campo S. Petro,Benedictine,88.3,1302-1537
S. Prospero,S. Anna (Lucca),Benedictine,88.3,1262-1537
S. Prospero,S. Benedetto e S. Scolastica (Lucca),Benedictine,88.3,1262-1537
S. Prospero,S. Bartolomeo,Benedictine,123.2,1262-1410
S. Prospero,"Abbazia di San Caprasio (Aulla, MS)",Benedictine,148.3,1262-1537
S. Maria a Monte Cellesi (Benedictine),S. Ilario in Alfiano,Benedictine,53.6,1063-1298
S. Maria a Monte Cellesi (Benedictine),S. Maria di Rosano,Benedictine,53.6,1063-1472
S. Maria a Monte Cellesi (Benedictine),Santissima Annunziata di Firenze,Benedictine,50.8,1412-1413
S. Maria a Monte Cellesi (Benedictine),S Silvestro,Benedictine,50.8,1301-1435
S. Maria a Monte Cellesi (Benedictine),Le Murate,Benedictine,50.8,1390-1808
S. Maria a Monte Cellesi (Benedictine),S. Michele delle Campora (Benedictine),Benedictine,50.8,1446-1808
S. Maria a Monte Cellesi (Benedictine),S Michaelis de Monte Tribaldi (Florence),Benedictine,50.8,1200-1808
S. Maria a Monte Cellesi (Benedictine),S. Verdiana,Benedictine,50.8,1391-1428
S. Maria a Monte Cellesi (Benedictine),S. Maria al Corso,Benedictine,88.3,None
S. Maria a Monte Cellesi (Benedictine),S. Dalmazio,Benedictine,88.3,1063-1282
S. Maria a Monte Cellesi (Benedictine),S. Cerbone,Benedictine,88.3,1149-1442
S. Maria a Monte Cellesi (Benedictine),Dominae de Campo S. Petro,Benedictine,88.3,1302-1786
S. Maria a Monte Cellesi (Benedictine),S. Anna (Lucca),Benedictine,88.3,1063-1808
S. Maria a Monte Cellesi (Benedictine),S. Benedetto e S. Scolastica (Lucca),Benedictine,88.3,1063-1808
S. Maria a Monte Cellesi (Benedictine),S. Bartolomeo,Benedictine,123.2,1063-1410
S. Maria a Monte Cellesi (Benedictine),"Abbazia di San Caprasio (Aulla, MS)",Benedictine,148.3,1063-1785
San Girolamo in Campansi,S. Girolamo delle Poverine Ingesuate,Jesuati,50.8,1382-1668
S. Elisabetta,S. Romolo e S. Bartolomeo,Augustinian,0.0,None
S. Elisabetta,S. Caterina di Cento,Augustinian,103.8,None
S. Elisabetta,S. Donato a Torri in Polverosa,Augustinian,4.9,1350-1378
S. Elisabetta,S. Caterina delle Ruote,Augustinian,62.6,1350-1378
S. Elisabetta,S. Agostino in via Romea,Augustinian,72.9,None
S. Elisabetta,S Eufemia (Albaretto),Augustinian,146.4,1350-1378
S. Romolo e S. Bartolomeo,S. Caterina di Cento,Augustinian,103.8,None
S. Romolo e S. Bartolomeo,S. Donato a Torri in Polverosa,Augustinian,4.9,1437-1440
S. Romolo e S. Bartolomeo,S. Caterina delle Ruote,Augustinian,62.6,1437-1440
S. Romolo e S. Bartolomeo,S. Agostino in via Romea,Augustinian,72.9,None
S. Romolo e S. Bartolomeo,S Eufemia (Albaretto),Augustinian,146.4,1437-1440
S. Ilario in Alfiano,S. Maria di Rosano,Benedictine,0.0,1000-1298
S. Ilario in Alfiano,Santissima Annunziata di Firenze,Benedictine,4.9,None
S. Ilario in Alfiano,S Silvestro,Benedictine,4.9,None
S. Ilario in Alfiano,Le Murate,Benedictine,4.9,None
S. Ilario in Alfiano,S. Michele delle Campora (Benedictine),Benedictine,4.9,None
S. Ilario in Alfiano,S Michaelis de Monte Tribaldi (Florence),Benedictine,4.9,1200-1298
S. Ilario in Alfiano,S. Verdiana,Benedictine,4.9,None
S. Ilario in Alfiano,S. Maria al Corso,Benedictine,63.1,None
S. Ilario in Alfiano,S. Dalmazio,Benedictine,63.1,1000-1282
S. Ilario in Alfiano,S. Cerbone,Benedictine,63.1,1149-1298
S. Ilario in Alfiano,Dominae de Campo S. Petro,Benedictine,63.1,None
S. Ilario in Alfiano,S. Anna (Lucca),Benedictine,63.1,1000-1298
S. Ilario in Alfiano,S. Benedetto e S. Scolastica (Lucca),Benedictine,63.1,1000-1298
S. Ilario in Alfiano,S. Bartolomeo,Benedictine,87.1,1057-1298
S. Ilario in Alfiano,"Pieve di San Moderanno (Berceto, PR)",Benedictine,131.0,1000-1298
S. Ilario in Alfiano,"Abbazia di San Caprasio (Aulla, MS)",Benedictine,116.3,1000-1298
S. Maria di Rosano,Santissima Annunziata di Firenze,Benedictine,4.9,1412-1413
S. Maria di Rosano,S Silvestro,Benedictine,4.9,1301-1435
S. Maria di Rosano,Le Murate,Benedictine,4.9,1390-1472
S. Maria di Rosano,S. Michele delle Campora (Benedictine),Benedictine,4.9,1446-1472
S. Maria di Rosano,S Michaelis de Monte Tribaldi (Florence),Benedictine,4.9,1200-1472
S. Maria di Rosano,S. Verdiana,Benedictine,4.9,1391-1428
S. Maria di Rosano,S. Maria al Corso,Benedictine,63.1,780-867
S. Maria di Rosano,S. Dalmazio,Benedictine,63.1,782-1282
S. Maria di Rosano,S. Cerbone,Benedictine,63.1,1149-1442
S. Maria di Rosano,Dominae de Campo S. Petro,Benedictine,63.1,1302-1472
S. Maria di Rosano,S. Anna (Lucca),Benedictine,63.1,780-1472
S. Maria di Rosano,S. Benedetto e S. Scolastica (Lucca),Benedictine,63.1,823-1472
S. Maria di Rosano,S. Bartolomeo,Benedictine,87.1,1057-1410
S. Maria di Rosano,"Pieve di San Moderanno (Berceto, PR)",Benedictine,131.0,780-1450
S. Maria di Rosano,"Abbazia di San Caprasio (Aulla, MS)",Benedictine,116.3,884-1472
S. Giovanni Evangelisto a Pratovecchio,Santa Maria degli Angeli ,Camaldolese ,4.9,1295-1808
S. Giovanni Evangelisto a Pratovecchio,Abbazia di San Salvatore,Camaldolese ,12.6,1058-1808
S. Bartolomeo alla Lastra,S Maria Maddalena de’ Calsati (Florence),Cistercian,4.9,1370-1453
S. Bartolomeo alla Lastra,S. Maria Maddelena delle Convertite,Cistercian,4.9,1352-1442
S. Bartolomeo alla Lastra,S. Maria dei Colli,Cistercian,63.1,None
S. Bartolomeo alla Lastra,S. Pantaleone (Cistercian),Cistercian,63.1,1352-1453
S. Caterina a Figline (Fiesole),San Domenico di Cafaggio ,Dominican,4.9,1292-1808
S. Caterina a Figline (Fiesole),S. Niccolo di Prato,Dominican,18.6,1300-1808
S. Caterina a Figline (Fiesole),S. Domenico,Dominican,72.9,1382-1786
S. Caterina a Figline (Fiesole),S. Silvestro,Dominican,72.9,1322-1786
S. Caterina a Figline (Fiesole),S. Paolo all’Orto (Dominican),Dominican,72.9,1257-1808
S. Annunziata,S Francesco a Guadato (Florence),Franciscan,4.9,1454-1468
S. Caterina di Cento,S. Donato a Torri in Polverosa,Augustinian,107.0,1514-1796
S. Caterina di Cento,S. Agostino in via Romea,Augustinian,133.2,None
S. Caterina di Cento,S Eufemia (Albaretto),Augustinian,129.2,1514-1796
S. Donato a Torri in Polverosa,S. Caterina delle Ruote,Augustinian,58.5,1339-1808
S. Donato a Torri in Polverosa,S. Agostino in via Romea,Augustinian,68.9,1251-1315
S. Donato a Torri in Polverosa,S Eufemia (Albaretto),Augustinian,144.9,1251-1809
Santissima Annunziata di Firenze,S Silvestro,Benedictine,0.0,1412-1413
Santissima Annunziata di Firenze,Le Murate,Benedictine,0.0,1412-1413
Santissima Annunziata di Firenze,S. Michele delle Campora (Benedictine),Benedictine,0.0,None
Santissima Annunziata di Firenze,S Michaelis de Monte Tribaldi (Florence),Benedictine,0.0,1412-1413
Santissima Annunziata di Firenze,S. Verdiana,Benedictine,0.0,1412-1413
Santissima Annunziata di Firenze,S. Maria al Corso,Benedictine,59.8,None
Santissima Annunziata di Firenze,S. Dalmazio,Benedictine,59.8,None
Santissima Annunziata di Firenze,S. Cerbone,Benedictine,59.8,1412-1413
Santissima Annunziata di Firenze,Dominae de Campo S. Petro,Benedictine,59.8,1412-1413
Santissima Annunziata di Firenze,S. Anna (Lucca),Benedictine,59.8,1412-1413
Santissima Annunziata di Firenze,S. Benedetto e S. Scolastica (Lucca),Benedictine,59.8,1412-1413
Santissima Annunziata di Firenze,S. Bartolomeo,Benedictine,85.4,None
Santissima Annunziata di Firenze,"Pieve di San Moderanno (Berceto, PR)",Benedictine,130.1,1412-1413
Santissima Annunziata di Firenze,"Abbazia di San Caprasio (Aulla, MS)",Benedictine,114.3,1412-1413
S Silvestro,Le Murate,Benedictine,0.0,1390-1435
S Silvestro,S. Michele delle Campora (Benedictine),Benedictine,0.0,None
S Silvestro,S Michaelis de Monte Tribaldi (Florence),Benedictine,0.0,1301-1435
S Silvestro,S. Verdiana,Benedictine,0.0,1391-1428
S Silvestro,S. Maria al Corso,Benedictine,59.8,None
S Silvestro,S. Dalmazio,Benedictine,59.8,None
S Silvestro,S. Cerbone,Benedictine,59.8,1301-1435
S Silvestro,Dominae de Campo S. Petro,Benedictine,59.8,1302-1435
S Silvestro,S. Anna (Lucca),Benedictine,59.8,1301-1435
S Silvestro,S. Benedetto e S. Scolastica (Lucca),Benedictine,59.8,1301-1435
S Silvestro,S. Bartolomeo,Benedictine,85.4,1301-1410
S Silvestro,"Pieve di San Moderanno (Berceto, PR)",Benedictine,130.1,1301-1435
S Silvestro,"Abbazia di San Caprasio (Aulla, MS)",Benedictine,114.3,1301-1435
Le Murate,S. Michele delle Campora (Benedictine),Benedictine,0.0,1446-1808
Le Murate,S Michaelis de Monte Tribaldi (Florence),Benedictine,0.0,1390-1808
Le Murate,S. Verdiana,Benedictine,0.0,1391-1428
Le Murate,S. Maria al Corso,Benedictine,59.8,None
Le Murate,S. Dalmazio,Benedictine,59.8,None
Le Murate,S. Cerbone,Benedictine,59.8,1390-1442
