source,target,order,distance_km,shared_period
Naqada Monastery,St. Theodore the Warrior Coptic Orthodox Monastery,Coptic Orthodox ,24.1,360-2000
Naqada Monastery,St. Wannas Coptic Orthodox Monastery,Coptic Orthodox ,24.1,400-2000
Naqada Monastery,St. Matthew the Potter Coptic Orthodox Monastery,Coptic Orthodox ,24.1,704-2000
Naqada Monastery,Deir El Shohada,Coptic Orthodox ,69.6,350-2000
Naqada Monastery,St. Badaba Coptic Orthodox Monastery,Coptic Orthodox ,50.1,400-2000
Naqada Monastery,St. George (Dair al-Hadid) Coptic Orthodox Monastery,Coptic Orthodox ,122.2,470-2000
Naqada Monastery,St. Pachomius the Martyr Coptic Orthodox Monastery,Coptic Orthodox ,122.2,350-2000
Naqada Monastery,St. Pisada Coptic Orthodox Monastery,Coptic Orthodox ,122.2,450-2000
Naqada Monastery,St. Thomas the Hermit Coptic Orthodox Monastery,Coptic Orthodox ,122.2,380-2000
Naqada Monastery,Monastery of the Martyrs of Akhmim,Coptic Orthodox ,122.2,400-2000
Naqada Monastery,White Monastery,Coptic Orthodox ,126.3,385-800
Naqada Monastery,St. Pishay Coptic Orthodox Monastery,Coptic Orthodox ,126.3,350-2000
Naqada Monastery,Red Monastery,Coptic Orthodox ,126.3,350-2000
Naqada Monastery,Atripe,Coptic Orthodox ,126.3,400-2000
Naqada Monastery,St. Michael Coptic Orthodox Monastery,Coptic Orthodox ,120.0,450-2000
St. Andrews Coptic Orthodox Monastery,St. Victor Coptic Orthodox Monastery,Coptic Orthodox ,0.0,450-2025
St. Andrews Coptic Orthodox Monastery,Prophet Jeremiah Coptic Monastery (Qamula–Qena),Coptic Orthodox ,0.0,450-2025
St. Andrews Coptic Orthodox Monastery,Holy Cross Coptic Orthodox Monastery,Coptic Orthodox ,0.0,1243-2025
St. Andrews Coptic Orthodox Monastery,St. Pisentius Coptic Orthodox Monastery,Coptic Orthodox ,0.0,550-2025
St. Andrews Coptic Orthodox Monastery,St. Moses the Black Coptic Orthodox Monastery,Coptic Orthodox ,52.8,450-1000
St. Andrews Coptic Orthodox Monastery,St. Pachomius Coptic Orthodox Monastery,Coptic Orthodox ,52.8,450-2025
St. Andrews Coptic Orthodox Monastery,St. Theodore the Warrior Coptic Orthodox Monastery,Coptic Orthodox ,52.8,450-2025
St. Andrews Coptic Orthodox Monastery,St. Wannas Coptic Orthodox Monastery,Coptic Orthodox ,52.8,450-2025
St. Andrews Coptic Orthodox Monastery,St. Matthew the Potter Coptic Orthodox Monastery,Coptic Orthodox ,52.8,704-2025
St. Andrews Coptic Orthodox Monastery,Deir El Shohada,Coptic Orthodox ,98.4,450-2025
St. Andrews Coptic Orthodox Monastery,St. Badaba Coptic Orthodox Monastery,Coptic Orthodox ,48.4,450-2025
St. Andrews Coptic Orthodox Monastery,St. George (Dair al-Hadid) Coptic Orthodox Monastery,Coptic Orthodox ,106.3,470-2025
St. Andrews Coptic Orthodox Monastery,St. Pachomius the Martyr Coptic Orthodox Monastery,Coptic Orthodox ,106.3,450-2025
St. Andrews Coptic Orthodox Monastery,St. Pisada Coptic Orthodox Monastery,Coptic Orthodox ,106.3,450-2025
St. Andrews Coptic Orthodox Monastery,St. Thomas the Hermit Coptic Orthodox Monastery,Coptic Orthodox ,106.3,450-2025
St. Andrews Coptic Orthodox Monastery,Monastery of the Martyrs of Akhmim,Coptic Orthodox ,106.3,450-2025
St. Andrews Coptic Orthodox Monastery,White Monastery,Coptic Orthodox ,111.1,450-800
St. Andrews Coptic Orthodox Monastery,St. Pishay Coptic Orthodox Monastery,Coptic Orthodox ,111.1,450-2025
St. Andrews Coptic Orthodox Monastery,Red Monastery,Coptic Orthodox ,111.1,450-2025
St. Andrews Coptic Orthodox Monastery,Atripe,Coptic Orthodox ,111.1,450-2025
St. Andrews Coptic Orthodox Monastery,St. Michael Coptic Orthodox Monastery,Coptic Orthodox ,109.7,450-2025
St. Victor Coptic Orthodox Monastery,Prophet Jeremiah Coptic Monastery (Qamula–Qena),Coptic Orthodox ,0.0,350-2025
St. Victor Coptic Orthodox Monastery,Holy Cross Coptic Orthodox Monastery,Coptic Orthodox ,0.0,1243-2025
St. Victor Coptic Orthodox Monastery,St. Pisentius Coptic Orthodox Monastery,Coptic Orthodox ,0.0,550-2025
St. Victor Coptic Orthodox Monastery,St. Moses the Black Coptic Orthodox Monastery,Coptic Orthodox ,52.8,400-1000
St. Victor Coptic Orthodox Monastery,St. Pachomius Coptic Orthodox Monastery,Coptic Orthodox ,52.8,350-2025
St. Victor Coptic Orthodox Monastery,St. Theodore the Warrior Coptic Orthodox Monastery,Coptic Orthodox ,52.8,360-2025
St. Victor Coptic Orthodox Monastery,St. Wannas Coptic Orthodox Monastery,Coptic Orthodox ,52.8,400-2025
St. Victor Coptic Orthodox Monastery,St. Matthew the Potter Coptic Orthodox Monastery,Coptic Orthodox ,52.8,704-2025
St. Victor Coptic Orthodox Monastery,Deir El Shohada,Coptic Orthodox ,98.4,350-2025
St. Victor Coptic Orthodox Monastery,St. Badaba Coptic Orthodox Monastery,Coptic Orthodox ,48.4,400-2025
St. Victor Coptic Orthodox Monastery,St. George (Dair al-Hadid) Coptic Orthodox Monastery,Coptic Orthodox ,106.3,470-2025
St. Victor Coptic Orthodox Monastery,St. Pachomius the Martyr Coptic Orthodox Monastery,Coptic Orthodox ,106.3,350-2025
St. Victor Coptic Orthodox Monastery,St. Pisada Coptic Orthodox Monastery,Coptic Orthodox ,106.3,450-2025
St. Victor Coptic Orthodox Monastery,St. Thomas the Hermit Coptic Orthodox Monastery,Coptic Orthodox ,106.3,380-2025
St. Victor Coptic Orthodox Monastery,Monastery of the Martyrs of Akhmim,Coptic Orthodox ,106.3,400-2025
St. Victor Coptic Orthodox Monastery,White Monastery,Coptic Orthodox ,111.1,385-800
St. Victor Coptic Orthodox Monastery,St. Pishay Coptic Orthodox Monastery,Coptic Orthodox ,111.1,350-2025
St. Victor Coptic Orthodox Monastery,Red Monastery,Coptic Orthodox ,111.1,350-2025
St. Victor Coptic Orthodox Monastery,Atripe,Coptic Orthodox ,111.1,400-2025
St. Victor Coptic Orthodox Monastery,St. Michael Coptic Orthodox Monastery,Coptic Orthodox ,109.7,450-2025
Prophet Jeremiah Coptic Monastery (Qamula–Qena),Holy Cross Coptic Orthodox Monastery,Coptic Orthodox ,0.0,1243-2025
Prophet Jeremiah Coptic Monastery (Qamula–Qena),St. Pisentius Coptic Orthodox Monastery,Coptic Orthodox ,0.0,550-2025
Prophet Jeremiah Coptic Monastery (Qamula–Qena),St. Moses the Black Coptic Orthodox Monastery,Coptic Orthodox ,52.8,400-1000
Prophet Jeremiah Coptic Monastery (Qamula–Qena),St. Pachomius Coptic Orthodox Monastery,Coptic Orthodox ,52.8,350-2025
